Museum,Cat,Country,State,Locality,loc,Lat,Long,Taxon,sub,Juv,Sex,Wing,Tail,Tarsus,length,low_len,depth,width,brightness,hue,chroma,Notes,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
USNM,144673,Mexico,Veracruz-Llave,Jico,2,,,concolor,1,0,0,155,178,39.5,19.8,17.1,10.5,10.2,-4.0732,4.3664,-2.1916,"Underdeveloped tarsus, missing toe (not broken)",10.725,14.4625,16.7375,17.463,16.8735,15.534,14.038,12.6115,11.253,10.237,9.47,8.927,8.5655,8.2995,8.2465,7.906,8.1455,8.22,8.264,8.901
USNM,144674,Mexico,Veracruz-Llave,Jico,2,,,concolor,1,0,1,164,181,40,19,17,10.4,9.4,-5.1951,0.9327,-1.6792,,11.532,18.3485,21.517,22.523,21.558,19.495,16.888,14.0615,11.3345,9.2,7.4225,6.1875,5.2515,4.5635,4.114,3.07,2.3745,1.858,0.28,-1.253
USNM,144675,Mexico,Veracruz-Llave,Jico,2,,,concolor,1,0,0,161,182,38.5,20.6,18.8,10.6,10.2,-0.0119,2.9579,-0.4323,,20.9205,28.635,30.569,29.533,26.9245,23.7965,20.718,17.595,15.001,13.0925,11.621,10.713,10.0335,9.655,9.743,9.7775,9.709,9.455,9.177,9.7725
USNM,144676,Mexico,Veracruz-Llave,Jico,2,,,concolor,1,0,1,153,171,41.5,19.1,17.5,10.1,9.3,-0.221,2.8111,-1.3171,,18.479,25.252,27.9815,27.891,26.241,23.797,21.0865,18.3745,15.893,13.809,12.169,11.005,10.1505,9.477,9.244,8.93,8.908,8.224,7.7405,7.2955
USNM,144677,Mexico,Veracruz-Llave,Jico,2,,,concolor,1,0,0,156,176,40,20.3,18,10.1,9.5,-0.5185,4.2991,-1.1349,,17.6605,24.012,25.78,25.195,23.465,21.1055,18.7295,16.398,14.381,12.973,11.866,11.1535,10.768,10.587,10.6685,10.606,10.898,11.0935,11.8735,12.682
USNM,144678,Mexico,Veracruz-Llave,Jico,2,,,concolor,1,0,0,151,170,41.9,19.2,17.2,9.8,9.5,-0.0248,4.9768,-0.6706,,20.8915,25.2875,25.918,24.7645,22.835,20.559,18.3215,16.2335,14.424,13.1165,12.2405,11.698,11.297,11.1095,11.4875,11.955,12.7795,13.5915,14.115,15.9285
USNM,144679,Mexico,Veracruz-Llave,Jico,2,,,concolor,1,0,0,166,182,42.9,18.6,17.2,9.3,8.9,-1.3812,2.8662,-0.8667,,16.068,24.2515,27.722,27.9285,26.137,23.206,19.9545,16.812,14.06,12.004,10.518,9.3035,8.5825,8.144,8.1335,8.245,8.8045,9.663,10.003,10.8555
USNM,144680,Mexico,Veracruz-Llave,Jico,2,,,concolor,1,0,0,156,178,42,18.5,17.1,9.6,9.1,1.3307,2.9116,-0.6847,,20.857,29.117,32.318,32.1095,29.961,26.975,23.5035,20.107,17.1615,14.7905,12.8675,11.5575,10.8655,10.372,10.1265,9.908,10.0555,10.7035,11.8515,13.241
MLZ,33381,Mexico,Oaxaca,Totontepec,1,17.257033,-96.028668,oaxacae,2,0,1,158,175,36.6,20,18.5,10,9.5,-4.0931,2.2222,0.0377,,18.481,24.772,25.645,24.0835,21.309,18.314,15.303,12.6395,10.409,8.8275,7.6935,6.887,6.308,6.0355,5.9155,5.862,5.7185,6.2085,7.353,8.3965
MLZ,33382,Mexico,Oaxaca,Totontepec,1,17.257033,-96.028668,oaxacae,2,0,0,160,170,37.8,20.6,18.9,10.5,9.2,-4.5865,2.9144,-0.0655,,16.463,22.969,23.7805,22.2735,19.7495,16.773,13.933,11.4685,9.52,8.1585,7.224,6.6245,6.291,6.2355,6.355,6.4425,6.766,7.5035,8.3375,10.2735
MLZ,33383,Mexico,Oaxaca,Totontepec,1,17.257033,-96.028668,oaxacae,2,0,1,156,173,37.5,20.5,18.5,10.1,9.5,-1.4444,1.1412,1.3531,,26.1145,34.69,35.2135,32.432,28.3125,23.674,19.227,15.6055,12.738,10.6215,9.129,8.105,7.437,6.822,6.4655,6.494,6.639,7.16,7.6825,8.416
MLZ,33384,Mexico,Oaxaca,Totontepec,1,17.257033,-96.028668,oaxacae,2,0,1,147,161,38.2,20,18.2,9.8,9.3,-3.2434,1.0337,0.7898,,22.183,29.982,30.8045,28.6945,25.3385,21.3745,17.5575,14.111,11.304,9.2525,7.719,6.6915,6.004,5.4955,5.2745,5.1935,5.0755,5.511,5.7005,5.8535
MLZ,33385,Mexico,Oaxaca,Totontepec,1,17.257033,-96.028668,oaxacae,2,0,1,158,170,38.7,20.6,19.7,9.6,9.3,-3.4821,2.1976,-0.1088,,19.247,25.44,26.182,24.774,22.0725,18.9435,15.9955,13.302,11.1145,9.578,8.4265,7.6485,7.033,6.6105,6.404,6.2565,6.3305,6.2215,5.765,6.831
MLZ,33386,Mexico,Oaxaca,Totontepec,1,17.257033,-96.028668,oaxacae,2,0,0,153.1,162,38.2,21.4,18.6,10.1,8.5,-0.8336,2.5744,-0.3589,,21.811,28.4085,29.4715,27.95,25.425,22.32,19.22,16.509,14.2635,12.5025,11.121,10.2315,9.6405,9.0255,8.602,8.124,7.9765,8.1955,7.881,8.112
MLZ,33387,Mexico,Oaxaca,Totontepec,1,17.257033,-96.028668,oaxacae,2,0,1,166,168,37.5,19.5,18.4,10.3,9.1,-8.0294,2.705,-1.4139,Nape patch scarce,9.9515,13.7445,14.541,13.739,12.472,10.988,9.538,8.132,6.9225,5.9685,5.213,4.772,4.355,4.1885,4.171,3.6255,3.1275,3.0575,2.8275,1.925
MLZ,33556,Mexico,Oaxaca,Moctum,2,17.247789,-96.004919,oaxacae,2,0,0,157,162,39.5,20.4,17.3,9.6,9.1,-0.7118,1.1052,0.6139,,25.9255,33.545,34.3805,32.104,28.448,24.324,20.406,16.8945,14.08,11.9795,10.3625,9.317,8.507,7.8925,7.5375,7.1045,6.462,5.7615,4.7385,4.0265
MLZ,33557,Mexico,Oaxaca,Moctum,2,17.247789,-96.004919,oaxacae,2,0,0,152.9,162,35.2,18.7,16.9,9.9,9.1,-5.5338,0.6242,-0.3889,Beak discoloration indicates juvenility but no gray patches on the wings. ,16.17,23.26,24.664,23.578,21.261,18.2435,15.2925,12.477,9.9905,8.0325,6.4525,5.3615,4.567,3.9015,3.472,2.962,2.226,1.905,1.073,-0.525
MLZ,33558,Mexico,Oaxaca,Moctum,2,17.247789,-96.004919,oaxacae,2,0,0,152.1,163,36,19.2,17.1,10.4,8.8,-1.0431,0.2806,1.5063,,30.114,37.1955,36.8305,33.4115,28.841,24.1505,20.058,16.444,13.429,11.1385,9.3735,8.435,7.6965,6.98,6.6735,5.987,5.243,4.3805,3.525,2.0755
MLZ,33577,Mexico,Oaxaca,Moctum,2,17.247789,-96.004919,oaxacae,2,0,1,157,170,38,20.3,17.5,10,9.6,-0.6517,1.8825,0.667,,25.04,32.534,33.354,31.2065,27.9245,24.1495,20.1965,16.758,13.919,11.8905,10.4,9.3215,8.5095,8.072,7.9805,7.927,8.067,8.4785,8.351,8.927
